lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,Maokai,maokai,52.41,Shaco,shaco,48.41,126,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Sona,sona,54.12,741,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Soraka,soraka,51.75,514,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Swain,swain,51.50,334,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Tahm Kench,tahmkench,47.08,274,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Taric,taric,44.28,201,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Thresh,thresh,51.28,1915,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Vel'Koz,velkoz,53.51,299,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Xerath,xerath,52.50,240,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Yuumi,yuumi,51.64,548,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Zilean,zilean,46.22,331,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Zoe,zoe,57.35,68,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Zyra,zyra,49.09,275,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Mel,mel,43.90,Alistar,alistar,45.86,362,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Ashe,ashe,50.00,84,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Bard,bard,43.42,555,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Blitzcrank,blitzcrank,45.39,738,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Brand,brand,43.58,218,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Braum,braum,39.23,775,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Elise,elise,39.22,102,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Fiddlesticks,fiddlesticks,57.58,33,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Janna,janna,40.41,292,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Karma,karma,41.59,1017,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,LeBlanc,leblanc,62.30,61,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Leona,leona,37.42,604,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Lulu,lulu,39.44,890,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Lux,lux,46.62,547,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Maokai,maokai,44.54,119,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Milio,milio,38.31,569,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Morgana,morgana,50.40,496,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Nami,nami,41.50,1359,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Nautilus,nautilus,38.45,827,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Neeko,neeko,43.62,392,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Pantheon,pantheon,40.18,224,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Poppy,poppy,46.36,110,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Pyke,pyke,43.24,629,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Rakan,rakan,43.26,319,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Rell,rell,44.04,193,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Renata Glasc,renata,40.00,85,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Senna,senna,47.77,381,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Seraphine,seraphine,43.29,499,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Shaco,shaco,51.04,96,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Sona,sona,39.07,407,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Soraka,soraka,43.87,367,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Swain,swain,47.50,280,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Tahm Kench,tahmkench,41.18,153,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Taric,taric,46.27,67,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Thresh,thresh,46.15,1677,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Vel'Koz,velkoz,49.04,208,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Xerath,xerath,41.84,392,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Yuumi,yuumi,40.31,387,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Zilean,zilean,44.02,234,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Zoe,zoe,29.49,78,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Mel,mel,43.90,Zyra,zyra,38.19,288,https://op.gg/lol/champions/mel/counters/support,2026-02-13T18:25:27.006178+00:00
support,Milio,milio,51.54,Alistar,alistar,52.95,1764,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
